,model,n,R2,adjR2,term,b,se,t,p,ci_low,ci_high,se_HC3,t_HC3,p_HC3,std_beta
18,M3,186,0.6483360471226711,0.6217567948703149,JP_Other,-0.02234302803857125,0.1514526409321055,-0.14752484935926194,0.8828905573181258,-0.32128815191808013,0.27660209584093765,0.15039706636340666,-0.14856026502926234,0.8819006289054347,-0.014831325998558553
19,M3,186,0.6483360471226711,0.6217567948703149,IND_Retail,-0.26883668744391714,0.14956688901696719,-1.7974345071349298,0.0740208770229347,-0.5640596158146018,0.026386240926767557,0.17216789622571993,-1.5614797725788554,0.11841059277838513,-0.16133153989470841
20,M3,186,0.6483360471226711,0.6217567948703149,IND_Service,-0.12350315113235065,0.14402990556354317,-0.8574826918695957,0.3923713924116178,-0.4077968927010392,0.16079059043633787,0.15403889355698808,-0.8017660233755155,0.42268831605103907,-0.07499297200602971
21,M3,186,0.6483360471226711,0.6217567948703149,IND_Technology,-0.1692071675923351,0.1542590325902501,-1.0969028182731504,0.2742172092826669,-0.473691693734724,0.13527735855005377,0.15552574312552378,-1.0879688737816808,0.276608848809036,-0.08482897572655348
22,M3,186,0.6483360471226711,0.6217567948703149,IND_Other,-0.1949073719682305,0.15431003290149758,-1.2630894330289453,0.20826658072879253,-0.49949256518562013,0.10967782124915915,0.168564041076157,-1.1562808456886224,0.2475663004687927,-0.1046648928855889
23,M3,186,0.6483360471226711,0.6217567948703149,Strategic_Mean,0.26139492410720533,0.07096073251138273,3.6836559440148857,0.0003076913945506842,0.1213289282906932,0.40146091992371746,0.07194204546694055,3.6334096759498427,0.00027970038859220146,0.2711828745158666
24,M3,186,0.6483360471226711,0.6217567948703149,Tactical_Mean,0.29762892108374533,0.08220151169837764,3.6207232073278215,0.0003862412560946378,0.1353752888821746,0.4598825532853161,0.0840989836390634,3.5390311298066477,0.00040159849116047587,0.2819433918888281
25,M3,186,0.6483360471226711,0.6217567948703149,Operational_Mean,0.3341564871454367,0.07077678634421401,4.7212723889483845,4.839910949661153e-06,0.19445357387006076,0.47385940042081265,0.09147699308106276,3.6529019580838473,0.00025929325245124596,0.3332960131833647
26,M4,186,0.647476239357115,0.6251902544888865,CS_50_99,-0.010572731605727956,0.08649299362931981,-0.12223801214511276,0.9028515868307581,-0.18128321273079306,0.16013774951933712,0.08830671266917321,-0.11972738296053417,0.9046991079180603,-0.006927629498303383
27,M4,186,0.647476239357115,0.6251902544888865,CS_100_249,-0.12457705077932898,0.09238553434934767,-1.3484475860501273,0.17926704224549364,-0.3069175890819271,0.05776348752326918,0.10218046232922003,-1.2191866031878809,0.22277337550682708,-0.07475991327248943
28,M4,186,0.647476239357115,0.6251902544888865,JP_SeniorMgr,0.09405598151827935,0.16510576230842422,0.5696711017425242,0.5696355289258797,-0.2318118482042585,0.41992381124081724,0.1660399283819809,0.5664660448533809,0.5710770090450803,0.040860008783199585
29,M4,186,0.647476239357115,0.6251902544888865,JP_MiddleMgr,-0.1031188780562129,0.1552944210491433,-0.6640217810759647,0.507555295683087,-0.40962214752278236,0.20338439141035658,0.15427961582163446,-0.6683895179997762,0.5038849846788898,-0.05537464395135822
30,M4,186,0.647476239357115,0.6251902544888865,JP_OpsMgr,-0.06383711319241724,0.1530089843941974,-0.4172115346374271,0.6770379922757686,-0.3658296358970153,0.23815540951218078,0.144786102891673,-0.4409063571534852,0.6592807912058475,-0.03392726809591642
31,M4,186,0.647476239357115,0.6251902544888865,JP_Other,-0.029991224187313544,0.148572855319987,-0.2018620704483353,0.8402603634338358,-0.3232281969124895,0.2632457485378624,0.15103867096705992,-0.19856652601143676,0.8426018405202198,-0.019908206812882287
32,M4,186,0.647476239357115,0.6251902544888865,IND_Retail,-0.27917413098836535,0.14788712790161815,-1.887751388167372,0.06072402363299331,-0.5710576893779007,0.012709427401169926,0.1695321054362389,-1.6467331085754897,0.09961291578466083,-0.16753514142490686
33,M4,186,0.647476239357115,0.6251902544888865,IND_Service,-0.12116994510202501,0.1431456828478011,-0.8464799125717143,0.39844774190150983,-0.4036953539767678,0.1613554637727178,0.15348514568625365,-0.789457146229084,0.42984486700711444,-0.07357621419125222
34,M4,186,0.647476239357115,0.6251902544888865,IND_Technology,-0.1765348430807671,0.1530920188084927,-1.1531289772956728,0.2504390564659873,-0.47869125009806496,0.12562156393653073,0.15261807814342568,-1.156709907687772,0.24739090043011613,-0.08850257428023905
35,M4,186,0.647476239357115,0.6251902544888865,IND_Other,-0.19760437665266356,0.15347620909864834,-1.2875244822189438,0.19962142145559522,-0.5005190567568789,0.10531030345155185,0.16680265833542263,-1.1846596368704263,0.23615204737305462,-0.10611317933857232
36,M4,186,0.647476239357115,0.6251902544888865,Overall_BI_Mean,0.8884315020507559,0.05520593613221182,16.093042964130984,2.7896788385872254e-36,0.7794720184828889,0.9973909856186229,0.05227623499388042,16.99494047638966,8.952119444748605e-65,0.7911097906273779
37,M5,186,0.6481884780002645,0.6237853666476817,CS_50_99,-0.01674079788619695,0.08727946818371496,-0.19180682736241206,0.8481184673515356,-0.18901051048599998,0.15552891471360608,0.08924096497865762,-0.1875909554563937,0.8511973168742386,-0.01096916573562821
38,M5,186,0.6481884780002645,0.6237853666476817,CS_100_249,-0.13036626658370187,0.09307400958865206,-1.4006731541905832,0.16310291604972973,-0.3140730789189777,0.05334054575157393,0.10501087418983389,-1.2414549215925168,0.21443774098888135,-0.0782340786082639
39,M5,186,0.6481884780002645,0.6237853666476817,JP_SeniorMgr,0.1006719180955225,0.16579223337729657,0.6072173348821563,0.54450283476852,-0.22656404002315217,0.4279078762141972,0.165353840402879,0.6088272147186833,0.5426389727501166,0.043734118672773103
40,M5,186,0.6481884780002645,0.6237853666476817,JP_MiddleMgr,-0.09307508766072833,0.1565080801196174,-0.5946982902709692,0.5528221574753036,-0.40198625019212497,0.21583607487066828,0.15278827295751052,-0.6091769077500597,0.5424071848788763,-0.049981147362219265
41,M5,186,0.6481884780002645,0.6237853666476817,JP_OpsMgr,-0.06043585162109401,0.15340317336733333,-0.3939674147181861,0.6940902665507552,-0.3632186382011238,0.24234693495893583,0.14318291790216453,-0.4220884202289356,0.6729604797994151,-0.032119612526548165
42,M5,186,0.6481884780002645,0.6237853666476817,JP_Other,-0.01806535379830628,0.15020891708400966,-0.12026818479892637,0.9044102661219604,-0.31454340888363896,0.27841270128702644,0.14769302557845135,-0.12231690513178874,0.9026480441676631,-0.011991801245536168
43,M5,186,0.6481884780002645,0.6237853666476817,IND_Retail,-0.2689671072082559,0.14916448992794012,-1.8031577578429774,0.07310364570205403,-0.5633837019094716,0.025449487492959777,0.17067307048595703,-1.5759200115309726,0.11504423849132268,-0.16140980607784616
44,M5,186,0.6481884780002645,0.6237853666476817,IND_Service,-0.12131795202819601,0.1434139242697166,-0.8459286826294147,0.39876105834572284,-0.4043842450623204,0.1617483410059284,0.15414198308267527,-0.7870532712890178,0.43125068229818797,-0.07366608622422673
45,M5,186,0.6481884780002645,0.6237853666476817,IND_Technology,-0.1714521247241485,0.1536189332845734,-1.1160871974455113,0.2659326233676615,-0.474660772044476,0.13175652259617898,0.15323794206972227,-1.1188620938679723,0.2631989764843582,-0.08595444468127707
46,M5,186,0.6481884780002645,0.6237853666476817,IND_Other,-0.19418323235944623,0.15387220379125477,-1.261977326475924,0.2086556670686653,-0.4978917777463404,0.10952531302744795,0.16758822047753202,-1.1586926086220941,0.24658150474302232,-0.10427603127495756
47,M5,186,0.6481884780002645,0.6237853666476817,Managerial_BI_Mean,0.5555943674999525,0.07213779575399794,7.701848409599638,9.920173864345433e-13,0.413210853934465,0.69797788106544,0.08120216527736751,6.842112714632334,7.803364937369914e-12,0.5162804295420513
48,M5,186,0.6481884780002645,0.6237853666476817,Operational_Mean,0.3362135314378523,0.0701724725829875,4.791245328290788,3.5493472670656998e-06,0.1977091164150261,0.47471794646067855,0.0898175229849505,3.743295520342807,0.0001816224111818529,0.3353477604574054
